low,mid,up
630,1557,2894
631,1559,2895
632,1561,2896
633,1562,2903
637,1563,2908
638,1564,2909
639,1570,2915
640,1571,2918
641,1575,2919
642,1576,2930
643,1579,2942
645,1582,2944
646,1583,2950
647,1588,2951
648,1589,2952
650,1591,2953
651,1593,2956
652,1594,2961
653,1595,2963
654,1597,2982
655,1602,2986
656,1603,2987
657,1608,2991
658,1609,2993
659,1612,3000
660,1615,3010
662,1616,3011
663,1621,3012
664,1627,3013
666,1628,3021
667,1631,3026
669,1634,3027
670,1636,3028
671,1642,3043
672,1643,3059
673,1644,3069
674,1646,3084
675,1647,3085
676,1649,3086
680,1650,3087
681,1651,3089
682,1658,3095
686,1659,3098
687,1660,3101
688,1665,3102
689,1666,3103
690,1676,3105
691,1678,3108
694,1679,3114
695,1680,3120
696,1681,3122
697,1682,3130
698,1683,3134
699,1684,3135
703,1687,3136
704,1689,3139
705,1693,3144
706,1694,3145
707,1696,3146
708,1697,3148
709,1698,3155
710,1700,3156
711,1704,3157
712,1706,3163
715,1707,3164
716,1709,3165
717,1715,3177
718,1717,3181
721,1724,3182
722,1727,3184
723,1728,3186
724,1729,3196
725,1733,3197
727,1737,3198
728,1740,3214
729,1742,3218
731,1748,3221
732,1756,3222
734,1757,3225
735,1758,3232
736,1760,3235
737,1761,3238
738,1762,3239
739,1764,3240
742,1766,3241
743,1767,3242
744,1770,3243
745,1772,3256
746,1777,3264
747,1778,3268
748,1782,3269
749,1783,3270
753,1784,3273
754,1785,3279
755,1786,3286
759,1787,3289
761,1788,3290
762,1789,3299
764,1791,3300
765,1794,3303
767,1797,3310
768,1801,3311
769,1802,3312
773,1803,3317
774,1806,3324
775,1807,3325
776,1808,3331
778,1809,3332
779,1810,3333
781,1811,3341
782,1813,3342
783,1816,3343
787,1817,3344
788,1822,3356
789,1823,3363
795,1828,3365
796,1829,3368
797,1832,3377
799,1834,3379
800,1840,3381
801,1841,3383
802,1844,3384
803,1846,3386
804,1849,3390
805,1850,3391
806,1851,3393
807,1852,3394
808,1853,3397
809,1856,3399
810,1858,3403
812,1862,3414
815,1864,3418
816,1865,3419
817,1866,3420
818,1867,3425
819,1869,3426
820,1876,3431
821,1877,3434
822,1878,3435
823,1887,3443
824,1888,3444
825,1889,3448
827,1891,3449
829,1892,3451
831,1893,3453
832,1894,3455
834,1895,3460
835,1897,3466
836,1898,3468
838,1900,3477
839,1901,3478
840,1903,3479
844,1904,3480
845,1906,3482
847,1908,3483
850,1911,3484
854,1912,3485
855,1913,3487
856,1915,3490
857,1916,3492
860,1917,3493
861,1918,3494
862,1919,3500
864,1920,3511
865,1921,3515
866,1922,3516
869,1923,3517
870,1924,3523
875,1926,3529
876,1927,3530
877,1932,3531
881,1939,3542
882,1940,3544
883,1941,3545
885,1942,3546
886,1943,3561
887,1945,3565
888,1952,3573
889,1953,3591
890,1956,3592
893,1958,3593
895,1962,3597
896,1964,3601
897,1967,3611
899,1968,3612
900,1974,3613
901,1975,3614
902,1976,3615
904,1980,3622
905,1982,3623
906,1984,3627
907,1985,3629
909,1986,3639
910,1987,3640
911,1988,3641
914,1992,3646
915,1993,3648
916,1994,3650
917,1995,3659
919,1996,3660
920,1998,3661
921,1999,3662
922,2000,3671
923,2005,3674
924,2006,3680
925,2007,3682
931,2008,3696
932,2009,3697
933,2010,3698
935,2012,3700
936,2014,3701
937,2015,3708
938,2016,3713
940,2017,3724
943,2018,3727
944,2020,3747
950,2026,3748
951,2027,3766
956,2029,3767
957,2030,3768
958,2031,3774
959,2032,3776
967,2033,3785
968,2036,3793
969,2037,3797
973,2038,3798
974,2039,3799
975,2040,3800
976,2043,3801
977,2046,3806
981,2047,3809
983,2048,3813
987,2049,3817
988,2050,3827
994,2051,3839
1001,2062,3840
1005,2063,3841
1006,2064,3846
1007,2065,3847
1008,2066,3866
1009,2067,3867
1010,2070,3868
1011,2073,3875
1012,2074,3876
1013,2075,3877
1016,2076,3878
1017,2077,3880
1021,2080,3882
1022,2081,3883
1023,2083,3885
1024,2084,3886
1025,2085,3900
1026,2087,3902
1027,2093,3903
1028,2094,3915
1033,2095,3917
1034,2097,3918
1035,2098,3919
1038,2099,3923
1039,2100,3927
1040,2101,3937
1041,2113,3938
1042,2115,3939
1046,2116,3940
1047,2118,3941
1053,2119,3945
1057,2125,3946
1058,2128,3947
1059,2129,3949
1060,2130,3950
1061,2132,3951
1062,2135,3955
1063,2139,3956
1064,2140,3957
1065,2141,3959
1066,2142,3964
1067,2143,3965
1068,2144,3966
1069,2145,3970
1070,2153,3975
1071,2155,3976
1072,2156,3977
1073,2157,3981
1074,2160,3982
1075,2161,3983
1078,2162,3984
1079,2163,3985
1084,2165,3986
1085,2167,3987
1086,2168,3989
1091,2169,3991
1092,2170,3992
1094,2171,3993
1095,2177,3994
1100,2180,3995
1101,2181,4004
1102,2187,4008
1103,2194,4009
1104,2197,4010
1106,2200,4012
1109,2202,4013
1110,2203,4017
1114,2207,4024
1115,2208,4031
1116,2209,4035
1117,2215,4044
1120,2225,4047
1123,2226,4054
1125,2227,4055
1126,2228,4056
1127,2229,4057
1129,2230,4058
1130,2231,4059
1132,2232,4069
1133,2233,4071
1134,2239,4072
1138,2241,4073
1141,2242,4074
1142,2243,4092
1143,2246,4094
1144,2258,4109
1145,2261,4112
1147,2262,4122
1148,2264,4137
1149,2265,4138
1152,2268,4146
1161,2269,4152
1162,2270,4162
1163,2274,4164
1164,2275,4169
1165,2276,4180
1166,2277,4184
1167,2279,4185
1168,2280,4193
1170,2281,4195
1171,2284,4199
1173,2285,4200
1182,2286,4207
1183,2287,4210
1184,2288,4214
1185,2295,4215
1189,2296,4216
1192,2297,4219
1193,2300,4220
1195,2302,4224
1196,2305,4229
1197,2307,4243
1199,2312,4244
1200,2314,4246
1201,2315,4253
1203,2319,4268
1204,2322,4269
1205,2324,4270
1206,2329,4296
1207,2330,4300
1208,2334,4316
1216,2336,4317
1217,2337,4318
1218,2338,4319
1220,2339,4321
1221,2341,4322
1228,2342,4323
1229,2343,4325
1231,2347,4326
1232,2352,4327
1233,2355,4336
1241,2356,4337
1242,2357,4340
1244,2360,4341
1245,2362,4343
1246,2370,4344
1247,2371,4345
1249,2372,4347
1250,2373,4349
1253,2374,4350
1254,2375,4352
1255,2376,4358
1259,2377,4368
1260,2379,4369
1262,2381,4376
1263,2383,4377
1264,2384,4378
1265,2385,4379
1270,2386,4388
1271,2388,4389
1274,2390,4391
1281,2391,4392
1282,2396,4393
1285,2398,4394
1286,2399,4395
1287,2404,4397
1288,2411,4402
1289,2414,4412
1291,2415,4413
1292,2416,4414
1293,2419,4415
1296,2422,4416
1297,2427,4417
1299,2428,4429
1301,2433,4430
1302,2440,4459
1311,2441,4460
1312,2442,4462
1313,2443,4463
1315,2444,4476
1316,2445,4478
1318,2447,4479
1319,2450,4487
1320,2456,4488
1321,2457,4494
1322,2458,4495
1326,2463,4496
1327,2464,4498
1330,2466,4499
1331,2469,4500
1335,2471,4506
1336,2473,4513
1337,2474,4521
1338,2479,4522
1340,2480,4531
1341,2481,4537
1342,2482,4538
1345,2484,4540
1346,2485,4543
1347,2486,4544
1348,2487,4545
1349,2490,4548
1350,2491,4549
1351,2492,4550
1352,2493,4553
1353,2494,4556
1354,2498,4565
1357,2499,4566
1359,2502,4567
1362,2506,4568
1363,2507,4569
1364,2508,4572
1367,2510,4580
1368,2519,4581
1369,2527,4583
1375,2531,4584
1376,2532,4599
1378,2535,4604
1379,2537,4605
1380,2538,4610
1383,2539,4616
1384,2543,4617
1387,2545,4622
1388,2548,4624
1389,2549,4628
1390,2553,4638
1396,2556,4642
1399,2557,4649
1403,2558,4652
1404,2561,4653
1405,2562,4658
1406,2563,4667
1407,2567,4669
1410,2573,4671
1411,2574,4672
1415,2575,4675
1417,2576,4676
1418,2577,4680
1419,2578,4681
1420,2579,4682
1427,2580,4685
1428,2584,4686
1434,2587,4689
1435,2590,4691
1436,2595,4692
1438,2596,4694
1441,2606,4695
1447,2608,4698
1459,2610,4701
1461,2619,4707
1462,2622,4708
1466,2623,4722
1467,2624,4729
1470,2626,4733
1471,2628,4734
1474,2629,4735
1478,2634,4739
1480,2635,4751
1481,2636,4752
1482,2637,4753
1488,2638,4755
1498,2639,4764
1499,2640,4765
1500,2643,4768
1501,2644,4771
1502,2647,4772
1503,2649,4776
1504,2650,4782
1509,2651,4783
1512,2652,4787
1513,2653,4788
1514,2654,4792
1524,2655,4795
1525,2660,4802
1526,2662,4813
1527,2663,4816
1532,2665,4820
1535,2666,4821
1536,2669,4823
1537,2670,4827
1539,2671,4828
1540,2674,4832
1541,2675,4834
1544,2680,4835
1545,2681,4850
1546,2683,4860
1547,2684,4861
1548,2688,4862
1550,2689,4866
1551,2690,4867
1552,2692,4875
1553,2693,4876
1554,2694,4877
1558,2695,4889
1560,2696,4890
1565,2698,4893
1566,2699,4909
1567,2700,4913
1568,2704,4920
1569,2708,4925
1572,2709,4927
1573,2710,4928
1574,2711,4929
1577,2712,4930
1578,2713,4933
1580,2717,4936
1581,2720,4939
1584,2721,4940
1585,2722,4946
1586,2724,4954
1587,2725,4959
1590,2727,4963
1596,2729,
1599,2730,
1600,2731,
1601,2733,
1604,2734,
1605,2735,
1606,2736,
1610,2737,
1611,2738,
